Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 None	-0.1392	-0.0103	0.9727	0.0	0.0	0.0	-0.22	8.212	-108.864	23.62	-884	-432	-3516	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0093	0.9731	0.0	0.0	0.0	-0.22	8.212	-108.864	23.61	-883	-432	-3517	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0103	0.9722	0.0	0.0	0.0	-0.22	8.212	-108.864	23.58	-883	-431	-3517	None	None	None	None	None	None	None	None
 None	-0.1392	-0.0107	0.9731	0.0	0.0	0.0	-0.22	8.212	-108.864	23.63	-883	-431	-3516	None	None	None	None	None	None	None	None
 None	-0.1401	-0.0107	0.9736	0.0	0.0	0.0	-0.22	8.212	-108.864	23.59	-884	-432	-3516	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0107	0.9722	0.0	0.0	0.0	-0.22	8.212	-108.864	23.61	-883	-431	-3516	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0107	0.9717	0.0	0.0	0.0	-0.22	8.212	-108.864	23.61	-884	-432	-3516	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0112	0.9731	0.0	0.0	0.0	-0.22	8.212	-108.864	23.6	-884	-432	-3516	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0103	0.9731	0.0	0.0	0.0	-0.22	8.207	-108.864	23.59	-884	-432	-3515	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0107	0.9731	0.0	0.0	0.0	-0.22	8.212	-108.864	23.61	-884	-431	-3516	None	None	None	None	None	None	None	None
 None	-0.1401	-0.0107	0.9727	0.0	0.0	0.0	-0.22	8.212	-108.864	23.62	-884	-431	-3516	None	None	None	None	None	None	None	None
 None	-0.1401	-0.0103	0.9722	0.0	0.0	0.0	-0.225	8.207	-108.864	23.59	-884	-431	-3516	None	None	None	None	None	None	None	None
 None	-0.1401	-0.0112	0.9722	0.0	0.0	0.0	-0.225	8.207	-108.864	23.65	-884	-432	-3515	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0103	0.9731	0.0	0.0	0.0	-0.225	8.207	-108.864	23.63	-884	-432	-3516	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0107	0.9727	0.0	0.0	0.0	-0.225	8.207	-108.864	23.61	-883	-432	-3516	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0103	0.9731	0.0	0.0	0.0	-0.225	8.207	-108.864	23.6	-884	-432	-3516	None	None	None	None	None	None	None	None
 None	-0.1401	-0.0107	0.9731	0.0	0.0	0.0	-0.225	8.207	-108.864	23.63	-885	-431	-3516	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0103	0.9722	0.0	0.0	0.0	-0.225	8.207	-108.864	23.61	-883	-431	-3515	None	None	None	None	None	None	None	None
 None	-0.1387	-0.0103	0.9722	0.0	0.0	0.0	-0.225	8.207	-108.864	23.64	-884	-431	-3516	None	None	None	None	None	None	None	None
 None	-0.1401	-0.0098	0.9727	0.0	0.0	0.0	-0.22	8.207	-108.864	23.61	-884	-431	-3516	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0107	0.9727	0.0	0.0	0.0	-0.22	8.207	-108.864	23.61	-884	-431	-3515	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0103	0.9736	0.0	0.0	0.0	-0.22	8.207	-108.864	23.66	-884	-432	-3514	None	None	None	None	None	None	None	None
 None	-0.1392	-0.0112	0.9731	0.0	0.0	0.0	-0.22	8.207	-108.864	23.62	-885	-431	-3516	None	None	None	None	None	None	None	None
 None	-0.1401	-0.0103	0.9722	0.0	0.0	0.0	-0.22	8.207	-108.864	23.62	-883	-432	-3515	None	None	None	None	None	None	None	None
 None	-0.1401	-0.0107	0.9731	0.0	0.0	0.0	-0.225	8.207	-108.864	23.58	-884	-432	-3515	None	None	None	None	None	None	None	None
 None	-0.1392	-0.0112	0.9731	0.0	0.0	0.0	-0.225	8.207	-108.864	23.62	-885	-432	-3516	None	None	None	None	None	None	None	None
 None	-0.1396	-0.0107	0.9731	0.0	0.0	0.0	-0.225	8.207	-108.864	23.64	-883	-432	-3517	None	None	None	None	None	None	None	None
