Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 None	0.0312	-0.0044	0.9834	0.0	0.0	0.0	0.154	-1.802	-114.044	24.78	-1508	-612	-3298	None	None	None	None	None	None	None	None
 None	0.0312	-0.0039	0.9834	0.0	0.0	0.0	0.154	-1.802	-114.044	24.74	-1508	-613	-3298	None	None	None	None	None	None	None	None
 None	0.0308	-0.0039	0.9844	0.0	0.0	0.0	0.154	-1.807	-114.044	24.77	-1508	-612	-3298	None	None	None	None	None	None	None	None
 None	0.0312	-0.0044	0.9834	0.0	0.0	0.0	0.154	-1.807	-114.044	24.77	-1507	-613	-3298	None	None	None	None	None	None	None	None
 None	0.0312	-0.0039	0.9844	0.0	0.0	0.0	0.154	-1.807	-114.044	24.75	-1507	-613	-3298	None	None	None	None	None	None	None	None
 None	0.0312	-0.0044	0.9834	0.0	0.0	0.0	0.154	-1.807	-114.044	24.75	-1506	-613	-3299	None	None	None	None	None	None	None	None
 None	0.0308	-0.0039	0.9844	0.0	0.0	0.0	0.154	-1.807	-114.044	24.73	-1509	-612	-3299	None	None	None	None	None	None	None	None
 None	0.0312	-0.0044	0.9839	0.0	0.0	0.0	0.154	-1.807	-114.044	24.73	-1507	-612	-3300	None	None	None	None	None	None	None	None
 None	0.0312	-0.0044	0.9834	0.0	0.0	0.0	0.154	-1.807	-114.044	24.77	-1508	-612	-3299	None	None	None	None	None	None	None	None
 None	0.0312	-0.0039	0.9839	0.0	0.0	0.0	0.154	-1.807	-114.044	24.73	-1508	-611	-3299	None	None	None	None	None	None	None	None
 None	0.0308	-0.0039	0.9839	0.0	0.0	0.0	0.154	-1.807	-114.044	24.74	-1508	-612	-3299	None	None	None	None	None	None	None	None
 None	0.0312	-0.0039	0.9844	0.0	0.0	0.0	0.154	-1.807	-114.044	24.75	-1508	-612	-3300	None	None	None	None	None	None	None	None
 None	0.0308	-0.0044	0.9829	0.0	0.0	0.0	0.154	-1.807	-114.044	24.72	-1507	-613	-3299	None	None	None	None	None	None	None	None
 None	0.0312	-0.0039	0.9839	0.0	0.0	0.0	0.154	-1.802	-114.044	24.73	-1508	-612	-3300	None	None	None	None	None	None	None	None
 None	0.0312	-0.0044	0.9844	0.0	0.0	0.0	0.154	-1.802	-114.044	24.7	-1508	-613	-3300	None	None	None	None	None	None	None	None
 None	0.0308	-0.0039	0.9829	0.0	0.0	0.0	0.154	-1.807	-114.044	24.77	-1508	-613	-3298	None	None	None	None	None	None	None	None
 None	0.0308	-0.0034	0.9839	0.0	0.0	0.0	0.154	-1.807	-114.044	24.75	-1509	-612	-3299	None	None	None	None	None	None	None	None
 None	0.0312	-0.0039	0.9834	0.0	0.0	0.0	0.154	-1.802	-114.044	24.77	-1508	-612	-3299	None	None	None	None	None	None	None	None
 None	0.0308	-0.0034	0.9839	0.0	0.0	0.0	0.154	-1.802	-114.044	24.75	-1510	-612	-3298	None	None	None	None	None	None	None	None
 None	0.0308	-0.0039	0.9844	0.0	0.0	0.0	0.154	-1.807	-114.044	24.76	-1509	-613	-3298	None	None	None	None	None	None	None	None
 None	0.0308	-0.0044	0.9844	0.0	0.0	0.0	0.154	-1.802	-114.044	24.79	-1508	-613	-3298	None	None	None	None	None	None	None	None
 None	0.0312	-0.0039	0.9839	0.0	0.0	0.0	0.154	-1.802	-114.044	24.75	-1509	-613	-3298	None	None	None	None	None	None	None	None
 None	0.0308	-0.0044	0.9834	0.0	0.0	0.0	0.154	-1.802	-114.044	24.76	-1509	-613	-3298	None	None	None	None	None	None	None	None
 None	0.0308	-0.0039	0.9844	0.0	0.0	0.0	0.154	-1.802	-114.044	24.77	-1510	-613	-3298	None	None	None	None	None	None	None	None
 None	0.0312	-0.0039	0.9834	0.0	0.0	0.0	0.154	-1.802	-114.044	24.77	-1510	-613	-3298	None	None	None	None	None	None	None	None
 None	0.0308	-0.0034	0.9844	0.0	0.0	0.0	0.154	-1.802	-114.044	24.76	-1509	-613	-3297	None	None	None	None	None	None	None	None
 None	0.0317	-0.0044	0.9834	0.0	0.0	0.0	0.154	-1.802	-114.044	24.73	-1510	-614	-3297	None	None	None	None	None	None	None	None
